Concentration µM,0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01
mL fluorescein (0. 1µg/mL),0,1,2,3,4,5,6,7,8,9,10
mL Buffer (0.05M Na2HPO4),10,9,8,7,6,5,4,3,2,1,0
